canonical_SMILES,raw_SMILES,potency,source
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)NC1COC1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)NC1COC1,1,active
CC(NC(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)O,CC(NC(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)O,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)c1nc(C(=O)O)cs1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)c1nc(C(=O)O)cs1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)N1CCCOC1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)N1CCCOC1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)c1cscn1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)c1cscn1,1,active
N#C/C(C(=O)NC1CC1)=C(/O)c1cc(O)c(O)c([N+](=O)[O-])c1,N#C/C(C(=O)NC1CC1)=C(/O)c1cc(O)c(O)c([N+](=O)[O-])c1,1,active
c1ccc2c(CNCC3(N4CCCC4)COC3)c[nH]c2c1,c1ccc2c(CNCC3(N4CCCC4)COC3)c[nH]c2c1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)c1ccc[n+]([O-])c1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)c1ccc[n+]([O-])c1,1,active
CCNC(=O)/C(C#N)=C(\N)c1cc(O)c(O)c([N+](=O)[O-])c1,CCNC(=O)/C(C#N)=C(\N)c1cc(O)c(O)c([N+](=O)[O-])c1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)Nc1nccs1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)Nc1nccs1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)NCc1ccccc1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)NCc1ccccc1,1,active
Cc1noc(C)c1-c1cc(Cl)c(Nc2ccc(F)cc2C(=O)O)c(Cl)c1,Cc1noc(C)c1-c1cc(Cl)c(Nc2ccc(F)cc2C(=O)O)c(Cl)c1,1,active
Cc1cccc2[nH]cc(CNCC3(N4CCCC4)COC3)c12,Cc1cccc2[nH]cc(CNCC3(N4CCCC4)COC3)c12,1,active
Cc1ccc(O)c(/N=N/c2ccccc2)c1,Cc1ccc(O)c(/N=N/c2ccccc2)c1,1,active
Cc1n[nH]c(C)c1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)c1,Cc1n[nH]c(C)c1-c1cc(Cl)c(Nc2ccccc2C(=O)O)c(Cl)c1,1,active
O=C(NNc1ccccc1)c1cnc2ccccc2n1,O=C(NNc1ccccc1)c1cnc2ccccc2n1,1,active
N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)N1CCCCC1,N#C/C(=C\c1cc(O)c(O)c([N+](=O)[O-])c1)C(=O)N1CCCCC1,1,active
O=C(O)c1ccc(-c2cc(Cl)c(Nc3ccccc3C(=O)O)c(Cl)c2)s1,O=C(O)c1ccc(-c2cc(Cl)c(Nc3ccccc3C(=O)O)c(Cl)c2)s1,1,active
O=C1c2ccc(NCCNCCO)c(NCCNCCO)c2C(=O)c2c(O)ccc(O)c21,O=C1c2ccc(NCCNCCO)c(NCCNCCO)c2C(=O)c2c(O)ccc(O)c21,1,active
Nc1sc(-c2cncnc2)c2c1C(=O)c1ccccc1-2,Nc1sc(c2-c3ccccc3C(=O)c12)-c1cncnc1,1,active
CCOc1nc2ccccc2nc1C(=O)Nc1ccc(N(CC)CC)cc1,CCOc1nc2ccccc2nc1C(=O)Nc1ccc(cc1)N(CC)CC,1,active
Cc1cccc2c3ccccc3n(C)c12,Cc1cccc2c3ccccc3n(C)c12,1,active
O=C(NC(c1ccccc1)c1ccccc1)c1ccc(-c2ccccc2)s1,O=C(NC(c1ccccc1)c1ccccc1)c1ccc(s1)-c1ccccc1,1,active
CN1CC[C@]2(C)c3cc(O)ccc3N(C)C12,CN1CC[C@]2(C)c3cc(O)ccc3N(C)C12,1,active
O=C(NC(c1ccccc1)c1ccccc1)c1csc(-c2ccccc2)n1,O=C(NC(c1ccccc1)c1ccccc1)c1csc(n1)-c1ccccc1,1,active
COc1ccc(-c2ccc(Cc3ccncc3C(=O)NNC(=O)/C=C/C(=O)O)cc2)cc1,COc1ccc(-c2ccc(Cc3ccncc3C(=O)NNC(=O)/C=C/C(=O)O)cc2)cc1,1,active
O=C(NC(c1ccccc1)c1ccccc1)c1ccc(-c2cccc3[nH]ccc23)s1,O=C(NC(c1ccccc1)c1ccccc1)c1ccc(s1)-c1cccc2[nH]ccc12,1,active
COc1ccc(-c2ccc(CNCC3(N4CCCC4)COC3)o2)cc1Cl,COc1ccc(-c2ccc(CNCC3(N4CCCC4)COC3)o2)cc1Cl,1,active
Fc1cccc2[nH]cc(CNCC3(N4CCCC4)COC3)c12,Fc1cccc2[nH]cc(CNCC3(N4CCCC4)COC3)c12,1,active
Clc1ccc(-c2ccc(CNCC3(N4CCCC4)COC3)o2)cc1Cl,Clc1ccc(-c2ccc(CNCC3(N4CCCC4)COC3)o2)cc1Cl,1,active
Cc1sc2ccccc2c1CC1=NCCN1,Cc1sc2ccccc2c1CC1=NCCN1,1,active
O=C(NCc1ccccc1)c1cnc2ccccc2n1,O=C(NCc1ccccc1)c1cnc2ccccc2n1,1,active
